"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (Run set 2) - _step","agent_type: gw (Run set 2) - _step__MIN","agent_type: gw (Run set 2) - _step__MAX","agent_type: gw (Run set 2) - metrics/success","agent_type: gw (Run set 2) - metrics/success__MIN","agent_type: gw (Run set 2) - metrics/success__MAX"
"0","0.2","0","1","0","0","0","0","0","0","0","0","0"
"15000","4.2","4","5","0","0","0","4","4","4","0","0","0"
"30000","8.2","8","9","0","0","0","8","8","8","0","0","0"
"45000","12.2","12","13","0","0","0","12","12","12","0","0","0"
"60000","16.2","16","17","0","0","0","16","16","16","0","0","0"
"75000","20.2","20","21","0","0","0","20","20","20","0","0","0"
"90000","24.2","24","25","0","0","0","24","24","24","0","0","0"
"105000","28.2","28","29","0","0","0","28","28","28","0","0","0"
"120000","32.2","32","33","0","0","0","32","32","32","0","0","0"
"135000","36.2","36","37","0","0","0","36","36","36","0","0","0"
"150000","40.2","40","41","0","0","0","40","40","40","0","0","0"
"165000","44.2","44","45","0","0","0","44","44","44","0","0","0"
"180000","48.2","48","49","0","0","0","48","48","48","0","0","0"
"195000","52.2","52","53","0","0","0","52","52","52","0","0","0"
"210000","56.2","56","57","0.04000000059604645","0","0.20000000298023224","56","56","56","0","0","0"
"225000","60.2","60","61","0","0","0","60","60","60","0","0","0"
"240000","64.2","64","65","0","0","0","64","64","64","0","0","0"
"255000","68.2","68","69","0","0","0","68","68","68","0","0","0"
"270000","72.2","72","73","0.04000000059604645","0","0.20000000298023224","72","72","72","0","0","0"
"285000","76.2","76","77","0.04000000059604645","0","0.20000000298023224","76","76","76","0","0","0"
"300000","80.2","80","81","0","0","0","80","80","80","0","0","0"
"315000","84.2","84","85","0","0","0","84","84","84","0","0","0"
"330000","88.2","88","89","0","0","0","88","88","88","0","0","0"
"345000","92.2","92","93","0","0","0","92","92","92","0","0","0"
"360000","96.2","96","97","0","0","0","96","96","96","0","0","0"
"375000","100.2","100","101","0.04000000059604645","0","0.20000000298023224","100","100","100","0","0","0"
"390000","104.2","104","105","0","0","0","104","104","104","0","0","0"
"405000","108.2","108","109","0","0","0","108","108","108","0","0","0"
"420000","112.2","112","113","0.04000000059604645","0","0.20000000298023224","112","112","112","0","0","0"
"435000","116.2","116","117","0.04000000059604645","0","0.20000000298023224","116","116","116","0","0","0"
"450000","120.2","120","121","0","0","0","120","120","120","0","0","0"
"465000","124.2","124","125","0","0","0","124","124","124","0.04000000059604645","0","0.20000000298023224"
"480000","128.2","128","129","0.0800000011920929","0","0.20000000298023224","128","128","128","0.04000000059604645","0","0.20000000298023224"
"495000","132.2","132","133","0.12000000178813934","0","0.4000000059604645","132","132","132","0","0","0"
"510000","136.2","136","137","0","0","0","136","136","136","0","0","0"
"525000","140.2","140","141","0.04000000059604645","0","0.20000000298023224","140","140","140","0","0","0"
"540000","144.2","144","145","0.0800000011920929","0","0.20000000298023224","144","144","144","0","0","0"
"555000","148.2","148","149","0.04000000059604645","0","0.20000000298023224","148","148","148","0","0","0"
"570000","152.2","152","153","0.12000000178813934","0","0.4000000059604645","152","152","152","0","0","0"
"585000","156.2","156","157","0.04000000059604645","0","0.20000000298023224","156","156","156","0","0","0"
"600000","160.2","160","161","0.0800000011920929","0","0.4000000059604645","160","160","160","0","0","0"
"615000","164.2","164","165","0.1600000023841858","0","0.20000000298023224","164","164","164","0","0","0"
"630000","168.2","168","169","0.04000000059604645","0","0.20000000298023224","168","168","168","0","0","0"
"645000","172.2","172","173","0","0","0","172","172","172","0.04000000059604645","0","0.20000000298023224"
"660000","176.2","176","177","0.0800000011920929","0","0.20000000298023224","176","176","176","0","0","0"
"675000","180.2","180","181","0.12000000178813934","0","0.20000000298023224","180","180","180","0.04000000059604645","0","0.20000000298023224"
"690000","184.2","184","185","0.20000000298023224","0","0.4000000059604645","184","184","184","0","0","0"
"705000","188.2","188","189","0.24000000357627868","0","0.4000000059604645","188","188","188","0","0","0"
"720000","192.2","192","193","0.4000000059604645","0.20000000298023224","0.800000011920929","192","192","192","0","0","0"
"735000","196.2","196","197","0.360000005364418","0","0.800000011920929","196","196","196","0.04000000059604645","0","0.20000000298023224"
"750000","200.2","200","201","0.3600000083446503","0.20000000298023224","0.6000000238418579","200","200","200","0","0","0"
"765000","204.2","204","205","0.1600000023841858","0","0.4000000059604645","204","204","204","0.04000000059604645","0","0.20000000298023224"
"780000","208.2","208","209","0.3600000113248825","0","0.6000000238418579","208","208","208","0","0","0"
"795000","212.2","212","213","0.28000000715255735","0","0.6000000238418579","212","212","212","0","0","0"
"810000","216.2","216","217","0.4000000089406967","0","0.800000011920929","216","216","216","0","0","0"
