"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (SAVI BC Dataset_v0) - _step","agent_type: gw (SAVI BC Dataset_v0) - _step__MIN","agent_type: gw (SAVI BC Dataset_v0) - _step__MAX","agent_type: gw (SAVI BC Dataset_v0) - metrics/success","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MAX"
"0","0.4","0","1","0","0","0","1","1","1","0","0","0"
"15000","4.4","4","5","0","0","0","5","5","5","0","0","0"
"30000","8.4","8","9","0","0","0","9","9","9","0","0","0"
"45000","12.4","12","13","0","0","0","13","13","13","0","0","0"
"60000","16.4","16","17","0","0","0","17","17","17","0","0","0"
"75000","20.4","20","21","0","0","0","21","21","21","0","0","0"
"90000","24.4","24","25","0","0","0","25","25","25","0","0","0"
"105000","28.4","28","29","0","0","0","29","29","29","0","0","0"
"120000","32.4","32","33","0","0","0","33","33","33","0","0","0"
"135000","36.4","36","37","0","0","0","37","37","37","0","0","0"
"150000","40.4","40","41","0","0","0","41","41","41","0","0","0"
"165000","44.4","44","45","0","0","0","45","45","45","0","0","0"
"180000","48.4","48","49","0","0","0","49","49","49","0","0","0"
"195000","52.4","52","53","0","0","0","53","53","53","0","0","0"
"210000","56.4","56","57","0","0","0","57","57","57","0","0","0"
"225000","60.4","60","61","0","0","0","61","61","61","0","0","0"
"240000","64.4","64","65","0.04000000059604645","0","0.20000000298023224","65","65","65","0","0","0"
"255000","68.4","68","69","0","0","0","69","69","69","0","0","0"
"270000","72.4","72","73","0","0","0","73","73","73","0","0","0"
"285000","76.4","76","77","0","0","0","77","77","77","0","0","0"
"300000","80.4","80","81","0","0","0","81","81","81","0","0","0"
"315000","84.4","84","85","0","0","0","85","85","85","0","0","0"
"330000","88.4","88","89","0","0","0","89","89","89","0","0","0"
"345000","92.4","92","93","0.04000000059604645","0","0.20000000298023224","93","93","93","0","0","0"
"360000","96.4","96","97","0.04000000059604645","0","0.20000000298023224","97","97","97","0","0","0"
"375000","100.4","100","101","0","0","0","101","101","101","0.04000000059604645","0","0.20000000298023224"
"390000","104.4","104","105","0.04000000059604645","0","0.20000000298023224","105","105","105","0","0","0"
"405000","108.4","108","109","0.04000000059604645","0","0.20000000298023224","109","109","109","0","0","0"
"420000","112.4","112","113","0","0","0","113","113","113","0","0","0"
"435000","116.4","116","117","0.04000000059604645","0","0.20000000298023224","117","117","117","0.04000000059604645","0","0.20000000298023224"
"450000","120.4","120","121","0.04000000059604645","0","0.20000000298023224","121","121","121","0.04000000059604645","0","0.20000000298023224"
"465000","124.4","124","125","0","0","0","125","125","125","0","0","0"
"480000","128.4","128","129","0.0800000011920929","0","0.20000000298023224","129","129","129","0.12000000178813934","0","0.20000000298023224"
"495000","132.4","132","133","0.0800000011920929","0","0.4000000059604645","133","133","133","0.12000000178813934","0","0.4000000059604645"
"510000","136.4","136","137","0.12000000178813934","0","0.4000000059604645","137","137","137","0.0800000011920929","0","0.20000000298023224"
"525000","140.4","140","141","0","0","0","141","141","141","0.0800000011920929","0","0.20000000298023224"
"540000","144.4","144","145","0","0","0","145","145","145","0.12000000178813934","0","0.4000000059604645"
"555000","148.4","148","149","0.0800000011920929","0","0.20000000298023224","149","149","149","0.0800000011920929","0","0.4000000059604645"
"570000","152.4","152","153","0.12000000178813934","0","0.20000000298023224","153","153","153","0.0800000011920929","0","0.4000000059604645"
"585000","156.4","156","157","0.12000000178813934","0","0.20000000298023224","157","157","157","0.1600000023841858","0","0.4000000059604645"
"600000","160.4","160","161","0.04000000059604645","0","0.20000000298023224","161","161","161","0.04000000059604645","0","0.20000000298023224"
"615000","164.4","164","165","0.04000000059604645","0","0.20000000298023224","165","165","165","0.1600000023841858","0","0.4000000059604645"
"630000","168.4","168","169","0.0800000011920929","0","0.4000000059604645","169","169","169","0.1600000023841858","0","0.800000011920929"
"645000","172.4","172","173","0.0800000011920929","0","0.4000000059604645","173","173","173","0.12000000178813934","0","0.20000000298023224"
"660000","176.4","176","177","0.12000000178813934","0","0.4000000059604645","177","177","177","0.16000000536441802","0","0.6000000238418579"
"675000","180.4","180","181","0.0800000011920929","0","0.20000000298023224","181","181","181","0.0800000011920929","0","0.20000000298023224"
"690000","184.4","184","185","0.12000000178813934","0","0.20000000298023224","185","185","185","0.12000000178813934","0","0.20000000298023224"
"705000","188.4","188","189","0.0800000011920929","0","0.20000000298023224","189","189","189","0.0800000011920929","0","0.20000000298023224"
"720000","192.4","192","193","0.12000000476837158","0","0.6000000238418579","193","193","193","0.12000000178813934","0","0.20000000298023224"
